word,count
ااااا,115
االاس,21
االان,13
االبح,10
االبر,17
االبل,11
االتا,15
االتر,12
االتق,10
االتو,10
االتي,23
االثا,24
االثو,16
االجت,14
االجز,13
االجن,10
االحا,15
االحر,22
االدو,18
االدي,14
االذي,16
االرا,12
االسا,14
االست,15
االسل,13
االسي,10
االشر,11
االشي,20
االصي,10
االعا,26
االعد,17
االعر,26
االعل,10
االعم,13
االفر,10
االفع,64
االفل,10
االفي,12
االقت,16
االكا,12
االلا,37
االله,82
االما,10
االمت,24
االمج,60
االمح,17
االمد,12
االمر,20
االمس,29
االمش,10
االمص,13
االمع,19
االمق,25
االمل,13
االمن,28
االمو,19
االنس,12
االهن,10
االهو,31
االول,12
اباال,3027
ابابا,93
ابابي,16
اباتا,30
اباتر,15
اباتش,122
اباتن,218
اباته,117
اباتو,13
اباتي,485
اباجي,19
اباحي,108
ابادا,70
ابادب,24
ابادت,19
ابادخ,10
ابادد,21
ابادس,52
ابادع,27
ابادك,20
ابادم,38
ابادن,11
ابادو,33
ابادي,79
اباذي,19
ابارا,89
ابارت,62
ابارو,16
اباري,68
ابازا,10
اباسي,21
اباشي,24
اباضي,14
اباطر,40
اباغو,94
اباكو,16
ابالا,85
ابالو,21
ابالي,71
ابامب,20
ابامي,42
ابانا,197
ابانت,63
اباند,198
ابانغ,14
ابانك,59
ابانو,63
اباني,186
اباها,19
اباهو,18
اباهي,15
اباوا,57
اباوت,17
اباوي,50
ابايا,98
ابايت,78
اباين,50
ابتات,13
ابتاع,125
ابتان,33
ابتتي,15
ابتثج,31
ابتدا,15888
ابتدر,24
ابتدع,516
ابتدي,21
ابتذا,33
ابترا,16
ابتزا,783
ابتزت,18
ابتسا,2233
ابتسم,546
ابتعا,870
ابتعث,188
ابتعد,1502
ابتغا,172
ابتغي,18
ابتكا,5275
ابتكر,4963
ابتكم,23
ابتكي,18
ابتلا,1068
ابتلت,26
ابتلع,313
ابتلو,13
ابتلي,274
ابتنا,265
ابتها,792
ابتهج,120
ابتهل,14
ابتهم,24
ابتوب,14
ابتور,208
ابتوس,25
ابتون,83
ابتيا,24
ابتين,24
ابجدي,72
ابجرا,32
ابجير,93
ابحاث,630
ابحار,48
ابحثو,19
ابحرت,32
ابخاز,35
ابداح,10
ابداع,446
ابدال,44
ابدان,10
ابداه,20
ابداو,99
ابدرا,14
ابدعت,15
ابدوا,19
ابدول,11
ابديت,63
ابديش,13
ابديل,24
ابذلو,13
ابرات,635
ابراج,238
ابراد,1128
ابرار,60
ابراز,142
ابراس,58
ابراش,30
ابراغ,18
ابراك,20
ابرام,193
ابران,28
ابراه,7236
ابراي,27
ابرتي,41
ابردي,43
ابرزت,14
ابرزه,358
ابرست,92
ابرسك,19
ابرشي,766
ابركا,60
ابرمت,36
ابرند,119
ابرها,65
ابرهي,289
ابروت,228
ابروز,26
ابروك,14
ابرول,25
ابروم,13
ابروي,24
ابريا,117
ابريج,12
ابريد,31
ابرير,13
ابريز,13
ابريس,16
ابريش,61
ابريف,25
ابريق,42
ابريك,70
ابريل,6076
ابريم,143
ابرين,37
ابريه,97
ابريو,23
ابزار,28
ابزين,37
ابسات,29
ابسال,11
ابسبو,17
ابستا,15
ابستم,15
ابستو,13
ابستي,18
ابسلو,12
ابسوس,11
ابسول,13
ابسوم,22
ابسوي,11
ابسيد,62
ابسيس,13
ابسيل,43
ابسين,79
ابشتا,65
ابشري,13
ابشوا,43
ابشور,12
ابشوي,10
ابشير,34
ابصار,17
ابطات,18
ابطال,1288
ابطاي,12
ابطحي,14
ابطون,23
ابطيح,23
ابطيش,11
ابطين,131
ابعات,87
ابعاد,536
ابعتل,23
ابعدت,44
ابعده,11
ابعدو,15
ابعون,12
ابعيد,11
ابعين,145
ابغار,11
ابغاغ,168
ابفيل,15
ابقات,1262
ابقار,21
ابقان,20
ابقاه,11
ابقتي,20
ابقرا,30
ابقوا,63
ابقون,395
ابقيت,10
ابقين,1210
ابكات,23
ابكار,103
ابكتي,49
ابكين,34
ابلات,472
ابلاد,14
ابلار,12
ابلاغ,204
ابلال,85
ابلان,34
ابلتي,25
ابلسي,22
ابلشم,11
ابلعا,18
ابلغت,36
ابلغه,22
ابلغو,20
ابللو,13
ابلهم,15
ابليت,11
ابليد,131
ابليس,112
ابليغ,10
ابليك,14
ابليم,10
ابلين,122
ابنان,509
ابناه,241
ابناي,15
ابنتا,804
ابنتك,62
ابنتن,20
ابنته,10879
ابنتي,1437
ابنسك,764
ابنعو,10
ابنكم,10
ابننا,32
ابنها,5243
ابنهم,1366
ابنوا,16
ابنوب,11
ابنيت,20
ابنيج,12
ابنين,304
ابنيه,479
ابهات,197
ابهاج,21
ابهار,53
ابهاغ,24
ابهام,46
ابهان,18
ابهاي,25
ابهتي,10
ابهرا,11
ابهما,67
ابهون,19
ابهيج,29
ابهيس,20
ابهيش,30
ابهين,69
ابواب,436
ابوات,15
ابواس,11
ابواغ,14
ابوال,890
ابوان,14
ابوبك,178
ابوتا,13
ابوتب,13
ابوتر,260
ابوتن,30
ابوتو,11
ابوتي,138
ابوثن,14
ابوجا,38
ابوجب,36
ابوجع,12
ابوحا,34
ابوحج,12
ابوحل,10
ابوحم,27
ابوحن,17
ابوخش,12
ابوخل,18
ابودا,38
ابودر,11
ابودو,10
ابودي,31
ابوذر,26
ابوذي,11
ابورا,759
ابورت,114
ابورح,11
ابورم,65
ابورن,24
ابورو,132
ابوري,2136
ابوزي,377
ابوسا,14
ابوست,22
ابوسع,35
ابوسل,32
ابوسن,17
ابوسي,32
ابوشا,15
ابوشل,10
ابوشو,14
ابوشي,16
ابوطا,63
ابوطي,11
ابوظب,327
ابوعا,60
ابوعب,41
ابوعر,34
ابوعل,48
ابوعم,91
ابوعن,12
ابوعو,27
ابوعي,34
ابوغا,12
ابوغر,17
ابوغز,24
ابوغو,31
ابوفا,11
ابوفر,30
