word,count
aaaaa,2019
aaaac,74
aaaad,69
aaaaf,37
aaaai,150
aaaaj,26
aaaam,58
aaaaq,35
aaaay,27
aaaca,208
aaafc,11
aaafn,11
aaaia,186
aaaib,352
aaama,366
aaamb,290
aaaqa,153
aaaqb,304
aaaya,456
aabar,11
aabbc,10
aabcc,29
aabec,120
aabel,57
aaben,4358
aaber,187
aabfo,15
aabje,10
aabkv,12
aabli,11
aabne,1106
aabni,200
aaboe,59
aabor,26
aabos,10
aabou,17
aabri,21
aabsk,52
aabsp,504
aabvs,80
aabyb,500
aabye,96
aabyh,224
aabæk,12
aacaa,69
aaccf,15
aacei,18
aacen,39
aaces,18
aache,927
aacht,11
aacsb,33
aacta,55
aadal,182
aadcd,21
aadeh,10
aaden,29
aader,315
aadet,214
aadgi,395
aadmi,10
aadte,19
aadul,21
aadum,20
aaelg,623
aaeli,17
aaels,70
aaend,91
aaens,27
aaere,12
aafar,16
aaffa,52
aafla,120
aagaa,1645
aagad,33
aagar,21
aageb,15
aagel,11
aagen,16
aager,68
aages,489
aagni,66
aagot,70
aagse,59
aahus,16
aahxi,12
aaiaa,81
aaiba,83
aakan,14
aakas,37
aaker,124
aakes,167
aakir,618
aakja,64
aakjæ,692
aakom,14
aakso,10
aakww,13
aalan,19
aalba,42
aalbe,48
aalbo,33458
aalbu,26
aalbæ,275
aalde,18
aaleg,21
aalen,122
aaler,23
aales,922
aalet,13
aalfr,10
aalge,24
aalho,262
aalik,13
aalin,45
aalit,12
aaliy,142
aalli,11
aalmu,16
aaloe,15
aalph,29
aalsg,34
aalsm,33
aalso,10
aalst,73
aalsø,15
aalte,28
aalti,20
aalto,284
aalui,12
aalum,16
aalun,46
aalva,10
aalvi,80
aamaa,128
aaman,55
aamar,10
aamba,73
aamer,23
aamir,21
aamod,110
aamos,34
aamot,27
aamul,14
aamun,206
aanda,23
aandb,37
aande,383
aandf,13
aandi,35
aandr,14
aands,123
aaner,24
aanes,15
aange,20
aangr,24
