word,count
ααααα,26
αακγι,14
ααρντ,21
ααρον,32
ααρτρ,10
ααρων,12
αασπε,10
ααχεν,20
αβαγι,62
αβαγκ,14
αβαδδ,20
αβαθε,44
αβαθο,10
αβαιν,58
αβακα,23
αβακο,13
αβαλι,14
αβαλο,61
αβανα,11
αβανγ,97
αβανε,13
αβανι,12
αβανκ,12
αβαντ,176
αβαρα,13
αβαρβ,22
αβαρι,139
αβαρμ,24
αβαρν,31
αβαρο,67
αβασγ,53
αβασι,44
αβασκ,11
αβατα,22
αβατι,11
αββαε,3139
αββακ,134
αββασ,2127
αββατ,30
αβγαρ,38
αβγδε,14
αβγολ,23
αβγοτ,18
αβδαγ,37
αβδαλ,18
αβδαν,46
αβδελ,184
αβδηρ,128
αβδιο,35
αβδισ,14
αβδου,38
αβεβα,1006
αβεγι,48
αβελι,1133
αβελλ,169
αβελο,29
αβενα,256
αβενι,13
αβενσ,17
αβεντ,335
αβερκ,18
αβερλ,16
αβερμ,22
αβερρ,151
αβερω,86
αβεσγ,26
αβεσσ,76
αβεστ,122
αβετζ,17
αβετι,44
αβευτ,13
αβηγμ,45
αβησσ,291
αβητι,304
αβηχτ,53
αβιαθ,11
αβιαν,23
αβιασ,28
αβιγα,17
αβιγκ,12
αβιδι,22
αβιετ,33
αβιην,71
αβικε,22
αβικο,108
αβιλα,15
αβιλη,12
αβιλι,41
αβινι,1065
αβιντ,10
αβιογ,86
αβιοτ,91
αβισε,11
αβισμ,228
αβιστ,52
αβιτα,21
αβιτσ,20
αβιωτ,10
αβλαβ,276
αβλεψ,60
αβλητ,34
αβντι,31
αβντο,11
αβογκ,129
αβοκε,11
αβολα,25
αβομε,16
αβονο,13
αβοντ,16
αβορι,94
αβουλ,45
αβουν,26
αβραα,232
αβρακ,110
αβραλ,13
αβραμ,1142
αβραν,121
αβρετ,10
αβροκ,53
αβροτ,25
αβρου,40
αβτζι,22
αβτομ,13
αβτον,26
αβυδη,14
αβυδο,16
αβυσσ,93
αβωγκ,34
αβωνο,18
αγαγι,83
αγαθα,144
αγαθη,14
αγαθι,40
αγαθο,1923
αγαθω,34
αγακλ,17
αγαλα,26
αγαλι,206
αγαλλ,198
αγαλμ,1410
αγαμε,22
αγαμπ,15
αγανα,487
αγανι,91
αγαπα,35
αγαπη,10934
αγαπι,99
αγαπο,1538
αγαπω,11
αγαρδ,15
αγαρη,61
αγαρι,514
αγασθ,19
αγασι,43
αγαστ,57
αγατζ,25
αγατσ,10
αγγαλ,16
αγγαν,467
αγγαρ,285
αγγει,5839
αγγελ,11904
αγγερ,25
αγγικ,13
αγγιλ,13
αγγιχ,12
αγγλε,31
αγγλι,79663
αγγλο,5955
αγγλω,16
αγγολ,17
αγγοσ,20
αγγου,287
αγγοφ,13
αγδαλ,44
αγδιν,11
αγεγρ,95
αγειρ,35
αγελα,327
αγελτ,25
αγενε,464
αγενν,96
αγενο,18
αγεντ,10
αγερα,42
αγερμ,11
αγερσ,64
αγετω,30
αγησι,81
αγιαβ,21
αγιαγ,58
αγιαδ,164
αγιαθ,34
αγιακ,59
αγιαλ,67
αγιαμ,19
αγιαν,206
αγιαξ,33
αγιαο,42
αγιαπ,21
αγιαρ,25
αγιασ,725
αγιατ,155
αγιαχ,12
αγιεγ,36
αγιελ,28
αγιεμ,11
αγιερ,64
αγιεφ,14
αγικο,24
αγιλο,244
αγινι,89
αγιοβ,188
αγιογ,3110
αγιοδ,11
αγιοε,13
αγιοθ,67
αγιοι,173
αγιοκ,232
αγιολ,496
αγιομ,65
αγιον,428
αγιοπ,1168
αγιορ,940
αγιοσ,78
αγιοτ,158
αγιου,1119
αγιοφ,31
αγιοχ,95
αγιτι,42
αγιων,157
αγιωρ,110
αγιωτ,77
αγκαβ,13
αγκαγ,21
αγκαζ,17
αγκαθ,464
αγκαι,73
αγκακ,14
αγκαλ,1787
αγκαμ,39
αγκαν,147
αγκαρ,196
αγκασ,1553
αγκατ,62
αγκαχ,20
αγκελ,237
αγκεμ,10
αγκεν,243
αγκερ,14
αγκεσ,25
αγκιγ,18
αγκιδ,26
αγκιε,18
αγκιλ,731
αγκιν,204
αγκιο,65
αγκιρ,20
αγκισ,339
αγκιτ,58
αγκλα,13
αγκλι,12
αγκμπ,146
αγκνε,28
αγκνι,180
αγκντ,273
αγκολ,91
αγκομ,11
αγκον,14
αγκορ,32
αγκοσ,529
αγκου,505
αγκρα,41
αγκρε,37
αγκρι,403
αγκρο,16
αγκσα,17
αγκσο,26
αγκτζ,24
αγκτο,32
αγκτσ,80
αγκυγ,39
αγκυλ,333
αγκυρ,1275
αγκων,110
αγλαβ,160
αγλαι,12
αγλαν,524
αγλαο,39
αγλατ,10
αγλικ,12
αγλλι,10
αγλου,12
αγματ,8531
αγμεν,92
αγμπι,12
αγναν,252
αγνησ,33
αγνητ,281
αγνοδ,20
αγνοε,1175
αγνοη,299
αγνοο,3145
αγνου,13
αγνωμ,26
αγνων,26
αγνωσ,861
αγοββ,31
αγοει,53
αγομε,36
αγονι,20
αγορα,3150
αγορε,140
αγορη,19
αγορι,1099
αγορο,172
αγουα,303
αγουι,13
αγουλ,71
αγουν,11
αγουρ,297
αγουσ,252
αγραβ,110
αγραδ,24
αγραμ,120
αγραν,58
αγραπ,302
αγραυ,25
αγραφ,2541
αγρελ,77
αγρια,375
αγριδ,161
αγριε,193
αγρικ,163
αγριλ,576
αγριμ,44
αγριν,3405
αγριο,1374
αγριπ,693
αγριτ,32
αγριω,16
αγροβ,113
αγρογ,23
αγροδ,40
αγροι,397
αγροκ,859
αγρολ,11
αγρομ,26
αγρον,205
αγροο,14
αγροπ,14
αγροσ,55
αγροτ,19185
αγρου,76
αγροφ,154
αγροχ,49
αγρυλ,108
αγρυπ,253
αγρωσ,197
αγσημ,54
αγστα,12
αγτζα,22
αγυρτ,36
αγχεσ,19
αγχια,68
αγχιν,60
αγχιρ,14
αγχισ,142
αγχογ,13
αγχολ,123
αγχωδ,28
αγχωμ,64
αγχωτ,78
αγωγε,116
αγωγη,79
αγωγι,1224
αγωγο,1157
αγωνα,165
αγωνε,302
αγωνι,45969
αγωνο,106
αγωνω,117
αδακη,14
αδακτ,101
αδαλβ,749
αδαλμ,23
αδαλο,27
αδαλχ,10
αδαμα,669
αδαμι,35
αδαμο,189
αδανσ,58
αδαρμ,13
αδαρν,98
αδεδυ,107
αδεια,59
αδειλ,20
αδειο,13965
αδελα,3991
αδελβ,12
αδελγ,91
αδελι,34
αδελφ,59500
αδενι,91
αδενο,744
αδενυ,61
αδενω,18
αδεξι,71
αδεοδ,78
αδερφ,13109
αδεσμ,282
αδημι,33
αδημο,499
αδησο,58
αδηφα,14
αδιαβ,261
αδιαζ,14
αδιαθ,161
αδιαι,68
αδιακ,288
αδιαλ,207
αδιαμ,885
αδιαν,343
αδιαπ,245
αδιασ,14
αδιατ,84
αδιαφ,2008
αδιαχ,76
αδιεν,116
αδιεξ,111
αδιευ,492
αδικα,640
αδικε,95
αδικη,387
αδικι,43
αδικο,286
αδιπι,50
αδιπο,18
αδισμ,250
αδιστ,31
αδμηε,37
αδοβο,31
αδοει,28
αδολε,13
αδολφ,42
αδοντ,16
αδοπο,10
αδουλ,28
αδραβ,46
αδρακ,30
αδραλ,10
αδραμ,232
αδραν,1777
αδρασ,12
αδραχ,34
αδρεν,402
αδρια,8698
αδρομ,70
αδρον,120
αδροπ,31
αδροσ,16
αδυνα,5261
αδυνθ,66
αδυντ,145
αδωνι,70
αεβαλ,65
αεγχπ,10
αεδρι,82
αειζω,13
αειθα,472
αεικα,34
αειμν,53
αειπα,28
αειφα,71
αειφο,307
αεκκε,22
αεκτζ,13
αεονι,21
αεραγ,493
αεραθ,82
αερακ,40
αεραλ,10
αεραν,35
αεραπ,29
αεριζ,113
αερικ,61
αεριν,105
αεριο,238
αερισ,374
αεριω,596
αερμπ,24
αεροα,33
αεροβ,702
αερογ,802
αεροδ,19555
αεροε,19
αεροζ,61
αεροη,17
αεροθ,26
αεροκ,58
αερολ,3394
αερομ,1341
αερον,1588
αεροπ,31685
αεροσ,25689
αεροτ,326
αεροφ,919
αεροχ,94
αεροψ,59
αερωπ,101
αετηρ,16
αετιδ,64
αετοβ,51
αετογ,43
αετοκ,22
αετολ,19
αετομ,174
αετον,25
αετοπ,39
αετορ,184
αετοσ,12
αετου,34
αετοφ,155
αετοχ,116
αετωμ,96
αζαβο,22
αζαγκ,14
αζαγο,39
αζαθε,29
αζαλα,23
αζαμπ,12
αζανα,10
αζανι,38
αζαντ,71
αζαξι,411
αζαρι,26
αζαρμ,29
αζασι,17
αζελα,26
αζενα,16
αζενκ,133
αζεντ,18
αζεοτ,71
αζεπι,13
αζερι,1281
αζερμ,10089
αζερο,35
αζετα,20
αζετι,77
αζευγ,10
αζηνι,33
αζιγι,10
αζιζι,12
αζιθρ,37
αζιλα,12
αζιμο,194
αζινκ,35
αζιρι,144
αζισμ,11
αζιστ,237
αζκαμ,137
αζκαπ,12
αζναβ,121
αζναο,25
αζοβμ,65
αζογυ,81
αζολι,18
αζοντ,12
αζορι,16
αζουλ,98
αζουμ,15
αζουν,26
αζουπ,16
αζουρ,98
αζοφι,276
αζοφσ,20
αζοχι,148
αζτεκ,21
αζωεν,13
αζωοσ,79
αζωτο,381
αζωχρ,18
αηδια,193
αηδον,600
αηθικ,10
αηνοβ,27
αηττη,13
αθακο,12
αθαμα,764
αθαμπ,66
αθανα,7435
αθαρι,124
αθεδρ,29
αθεια,35
αθειε,20
αθεισ,14
αθενε,14
αθερι,69
αθερο,375
αθεσι,214
αθεστ,2146
αθετε,13
αθετο,21
αθηαι,14
αθηκε,10
αθημα,51
αθημε,15
αθηνα,22224
αθηνι,74
αθηνο,157
αθηνω,454
αθηρο,159
αθηρω,42
αθησα,26
αθητι,228
αθιαν,15
αθιβο,11
αθιγγ,18
αθισμ,22
αθιστ,4355
αθλεσ,13
αθλετ,24
αθληθ,11
αθλημ,1106
αθλησ,16
αθλητ,115578
αθλιο,15
αθλοθ,174
αθλοι,10
αθλοκ,19
αθλομ,19
αθλον,28
αθλοπ,927
αθλου,36
αθμισ,33
αθμον,71
αθμωτ,32
αθολι,102
αθολο,363
αθορι,172
αθπιλ,54
αθρησ,137
αθρογ,17
αθροι,648
αθυρο,39
αθωνι,232
αθωωθ,90
αθωωτ,72
αιαγο,262
αιακι,207
αιακο,69
αιαντ,316
αιβαζ,12
αιβαλ,13
αιγαι,684
αιγαλ,186
αιγεα,11
αιγει,46
αιγια,2185
αιγιδ,55
αιγιε,36
αιγιθ,16
αιγικ,12
αιγιλ,99
αιγιμ,11
αιγιν,1584
αιγιο,45
αιγιρ,20
αιγισ,12
αιγιτ,12
αιγκα,10
αιγκι,14
αιγκλ,83
αιγκμ,10
αιγκο,21
αιγκρ,24
αιγκυ,16
αιγλη,17
αιγοβ,11
αιγοε,10
αιγοθ,49
αιγοκ,21
αιγοπ,375
αιγοσ,17
αιγοφ,14
αιγυπ,9976
αιγωλ,34
αιδαγ,31
αιδει,475
αιδεκ,12
αιδεσ,421
αιδηψ,1223
αιδια,15
αιδικ,686
αιδιν,42
αιδιο,10
αιδισ,2676
αιδοι,63
αιδου,10
αιεελ,17
αιζακ,11
αιζαν,13
αιζεν,20
αιθαλ,171
αιθαμ,16
αιθαν,3008
αιθεν,526
αιθερ,121
αιθηκ,15
αιθιν,279
αιθιο,4127
αιθοξ,168
αιθοσ,20
αιθου,450
αιθυλ,3188
αιθυν,17
αιικα,49
αικατ,12231
αικου,13
αικτι,69
αικων,10
αιλαν,28
αιλια,429
αιλου,796
αιμαγ,84
αιματ,3375
αιμερ,138
αιμικ,22
αιμιλ,1900
αιμιο,10
αιμοβ,77
αιμογ,23
αιμοδ,452
αιμοι,24
αιμοκ,237
αιμολ,237
αιμομ,416
αιμον,651
αιμοπ,636
αιμορ,2472
αιμοσ,1588
αιμου,54
αιμοφ,808
αιμοχ,79
αιμυα,49
αιμωδ,16
αιμων,43
αινει,509
αινεσ,10
αινησ,28
αινια,23
αινιγ,417
αινικ,37
αινιω,10
αινολ,48
αινου,21
αινοφ,1372
αινστ,32
αιντα,26
αιντρ,12
αιντχ,15
αινυλ,32
αιξων,216
αιοβα,14
αιογρ,52
αιοκρ,70
αιολε,133
αιολι,2441
αιολο,51
αιοπο,231
αιοτη,11
αιουχ,86
αιπει,19
αιρεθ,81
αιρεμ,15
αιρεσ,68
αιρετ,2122
αιρικ,194
αιριν,3018
αιριο,1781
αιρισ,2236
αιρον,10
αισαρ,20
αισερ,17
αισθα,825
αισθη,12108
αισιο,498
αιστε,14
αιστι,10
αισυμ,29
αισχρ,362
αισχυ,39
