word,count
aaaaa,4568
aaaac,111
aaaai,74
aaaaj,26
aaaam,29
aaaaq,22
aaaay,18
aaaca,295
aaaia,92
aaaib,86
aaama,158
aaamb,49
aaaqa,76
aaaqb,157
aaast,25
aaaya,1102
aabar,10
aabas,74
aabba,11
aabbc,18
aabcc,129
aabec,23
aabel,753
aaben,86
aaber,62
aabia,45
aabik,32
aabil,14
aabis,73
aabit,644
aabla,339
aable,20
aabli,454
aablo,36
aablu,12
aabne,23
aabra,390
aabre,20
aabri,42
aabru,11
aabye,29
aacaa,166
aache,987
aachi,19
aacrj,33
aacsb,43
aacut,56
aadah,23
aadak,13
aadal,19
aadam,684
aadas,40
aadat,17
aadeg,33
aadek,19
aadel,2445
aader,124
aades,61
aadet,744
aadia,26
aadib,653
aadid,5245
aadie,24
aadif,10
aadig,577
aadih,31
aadij,184
aadik,6024
aadil,952
aadim,993
aadin,415
aadio,567
aadip,55
aadis,1498
aadit,678
aadiu,167
aadiv,95
aadiü,11
aadla,45
aadle,202
aadli,15639
aadlu,726
aadma,107
aadna,10
aadne,788
aadni,31
aadom,10
aadpr,27
aadre,35152
aadri,1145
aadro,12
aadse,3223
aadsu,69
aadul,29
aadum,46
aadun,15
aadur,25
aadus,372
aaegn,12
aaegs,30
aaekr,91
aafia,20661
aafid,402
aafik,406
aafil,9839
aafin,32
aafis,14
aafje,55
aafri,25691
aafti,19
aagaa,408
aagam,15
aagar,74
aagen,37
aager,338
aages,22
aagia,68
aagid,146
aagig,99
aagij,24
aagik,178
aagil,39
aagim,30
aagin,35
aagis,448
aagja,30
aagna,12
aagot,12
aagra,18
aagre,49
aagri,735
aagte,10
aagud,10
aagus,15
aahas,22
aahof,40
aaiaa,18
aaiba,20
aaida,19
aailm,3236
aaime,22
aaine,25
aajad,29
aajai,21
aajak,107
aajal,340
aajam,19
aajas,19
aajat,104
aajoo,1006
aakad,40
aakae,23
aakal,16
aakar,32
aaken,11
aaker,90
aaket,11
aakia,74
aakid,30
aakim,45
aakir,21
aakko,14
aakoh,360
aakon,30
aakoo,13
aakor,15
aakre,690
