word,count
aaaaa,5889
aaaab,28
aaaac,68
aaaad,15
aaaae,17
aaaaf,140
aaaag,12
aaaah,39
aaaai,173
aaaaj,104
aaaam,57
aaaaq,30
aaaar,14
aaaas,10
aaaat,38
aaaaw,10
aaaay,32
aaaca,111
aaahh,11
aaaia,118
aaaib,582
aaalt,15
aaama,198
aaamb,145
aaami,16
aaamt,20
aaamv,10
aaana,15
aaanb,12
aaane,16
aaaqa,92
aaaqb,962
aaarg,18
aaarr,11
aaaya,191
aabba,17
aabbc,18
aabbd,64
aabbr,10
aabel,161
aaben,281
aaber,21
aabin,10
aablp,11
aabne,15
aabou,129
aabra,201
aabsp,10
aabyb,26
aabye,61
aacaa,25
aacce,10
aache,1330
aacrj,15
aacsb,54
aacta,141
aacti,13
aacut,16
aadah,16
aadaj,44
aadal,11
aadam,670
aadan,522
aadas,177
aaddf,80
aadel,14
aaden,52
aades,162
aadet,40
aadfi,18
aadha,10
aadid,23
aadik,10
aadil,68
aadin,148
aadis,68
aadit,125
aadli,24
aadmi,46
aadnc,12
aadne,19
aadol,2491
aadui,16
aaduk,40
aadul,11
aadun,23
aadut,14
aadva,277
aaeeb,18
aaeee,18
aaeta,142
aafed,44
aaffa,287
aafff,48
aafia,150
aafik,18
aafil,118
aafis,26
aafje,17
aafla,44
aafri,10
aagaa,211
aagen,10
aages,27
aagii,17
aagin,12
aagis,78
aagoi,17
aagot,30
aagse,78
aahaa,12
aahal,23
aahan,4974
aahas,42
aaher,49
aahia,41
aahii,11
aahik,40
aahil,28
aahin,223
aahis,15
aahit,50
aahka,77
aahon,10
aahov,15
aahte,152
aahto,23
aahus,20
aaiaa,40
aaiba,125
aailm,7408
aaina,16
aaine,23
aaint,30
aairp,52
aaise,24
aajaa,762
aajah,155
aajai,35
aajaj,43
aajak,932
aajal,776
aajam,2210
aajan,3791
aajao,14
aajap,33
aajar,18
aajas,263
aajat,11260
aajav,41
aajay,256
aajee,15
aajen,195
aajgb,74
aajia,1630
aajie,1747
aajii,145
aajik,80
aajil,847
aajin,177
aajis,527
aajoe,20
aajoh,13
aajoi,78
aajoj,78
aajon,12
aajou,39215
aajui,726
aajuu,995
aajär,10
aakaa,335
aakad,22
aakal,13
aakan,50
aakar,116
aakas,22
aakat,45
aakau,87
aakel,13
aaken,159
aaker,462
aaket,37
aakhe,19
aakhr,16
aakie,21
aakin,926
aakir,41
aakit,24
aakka,106
aakke,424
aakki,110
aakko,221554
aakku,403
aakol,12
aakon,16
aakoo,43
aakos,15
aakot,24
aakre,14
aakro,15
aakse,2899
aaksi,5154
aakso,3177
aakul,182
aakun,1875
aakus,30
aakys,12
aakyy,29
aakäp,22
aalaa,337
aalai,9383
aalaj,57
aalak,21
aalal,89
aalam,12
aalan,1167
aalap,19
aalar,1041
aalas,465
aalat,96
aalau,2707
aalba,15
aalbe,824
aalbo,1484
aalbu,41
aalde,76
aaleh,252
aalei,9634
aalej,3489
aalen,194
aalep,22
aales,217
aalex,11
aalge,24
aalia,4973
aalib,22
aalic,22
aalid,1946
aalie,5674
aalif,392
aalig,148
aalih,452
aalii,2292
aalij,420
aalik,6222
aalil,2225
aalim,1888
aalin,26821
aalio,842
aalip,3587
aalir,1840
aalis,40836
aalit,28261
aaliu,1044
aaliv,6764
aaliy,1409
aaliä,13
aaliö,84
aaljo,16
aalla,3124
aalle,3229
aalli,13332
aallo,11460
aalma,11
aalmu,178
aalne,17
aaloe,260
aaloi,166
aalok,43
aalon,10
aalph,52
aalse,16
aalsm,61
aalst,166
aalta,1627
aalte,48
aalti,451
aalto,45264
aalue,188
aalui,18
aaluj,16
aalup,12
aalut,37
aalvi,21
aalvu,25
aamaa,4886
aamae,90
aamai,52
aamak,725
aamal,3146
aamam,55
aaman,767
aamap,27
aamar,62
aamas,1312
aamat,1878
aamav,30
aamba,43
aamej,51
aamel,125
aamen,388
aamer,105
aames,37
aamia,1327
aamie,127
aamih,36
aamii,46
aamik,54
aamil,57
aamin,3343
aamio,235
aamip,31
aamir,266
aamis,7373
aamma,344
aamme,1156
aammi,101
aamoa,30
aamod,311
aamoi,77
aamoj,63
aamok,120
aamol,26
aamon,210
aamoo,29
aamor,11
aamos,175
aamot,53
aampa,176
aampi,1163
aamse,15
aamua,245
aamuh,144
aamui,507
aamuj,132
aamuk,451
aamul,20484
aamum,17
aamun,4679
aamuo,165
aamup,1845
aamur,297
aamus,1823
aamut,536
aamuu,491
aamuv,259
aamuy,978
aamuö,55
aamya,25
aamyy,10
aanaa,139
aanah,74
aanak,41
aanan,41
aanap,208
aanar,168
aanas,29
aanat,12
aanav,147
aanch,11
aanda,107
aandc,12
aande,40
aandi,38
aands,10
aaned,146
aanee,28
aanei,820
aanej,685
aanek,382
aanel,41
aanen,122
aaner,568
