word,count
aaaaa,460
aaaac,17
aaaai,17
aaaam,11
aaaca,15
aaaia,40
aaaib,16
aaama,115
aaaqa,85
aaaqb,23
aaaya,58
aache,58
aacut,19
aaiaa,13
aalbo,28
aalge,12
aaliy,34
aalst,10
aalto,68
aamaa,38
aanre,21
aaqba,53
aarga,23
aarhu,38
aarne,27
aaron,258
aarti,17
aasen,19
aavik,10
aayaa,18
ababa,24
abadi,10
abaid,18
abail,27
abair,424
abais,12
abaka,13
abala,20
aball,35
aband,93
abans,32
abare,17
abart,26
abasa,14
abaza,11
abbad,23
abbas,42
abbay,10
abbes,11
abbev,20
abbey,676
abbie,20
abbot,145
abbou,20
abbre,11145
abbru,15
abcde,163
abcme,50
abcne,32
abcái,28
abdal,26
abdel,57
abder,15
abdou,13
abduc,18
abdul,191
abdóm,33
abebo,32
abegg,21
abeli,27
abell,24
abera,88
aberc,115
aberd,298
abere,12
aberf,55
aberg,70
aberh,89
aberl,12
abern,18
aberp,32
aberr,10
abers,17
abert,934
abery,256
abger,17
abhac,383
abhad,29
abhai,4103
abhal,32
abhan,579
abhar,130
abhat,11
abhca,16
abhcó,485
abhis,10
abhla,30
abhra,56
abhta,301
abhtu,141
abhtú,374
abhun,129
abhus,49
abhái,667
abhál,120
abhán,188
abhóc,30
abhói,19
abidj,17
abier,15
abies,33
abiga,36
abile,26
abili,211
abing,27
abins,54
abira,12
abkha,34
ablau,12
ablen,12
ables,116
ablet,16
ablev,10
ablon,31
abney,15
aboar,10
abode,11
aboli,51
abook,18
abori,141
abort,85
about,3137
above,901
abrac,68
abrad,18
abrah,300
abram,80
abreu,24
abrev,37
abrik,14
abril,24
abroa,64
abron,15
abruz,33
absal,62
absen,63
absna,19
absol,227
absor,15
abstr,161
absva,10
abtei,11
abthe,66
abuja,12
abula,26
abulf,11
abund,18
abuse,151
abusi,25
abyss,21
abéla,13
abóit,14
acaaj,14
acaba,18
acach,29
acaci,76
acada,1321
acade,1654
acadh,32
acadi,12
acadé,112
acadó,149
acadú,454
acaei,35
acaic,22
acaig,12
acail,219
acain,61
acair,85
acall,19
acaly,14
acamp,16
acant,117
acapt,75
acarb,191
acast,12
acati,14
acatá,47
acaul,18
accab,12
accad,16
accel,44
accen,73
accep,443
acces,17858
accid,74
accip,76
acció,15
accma,16
accom,114
accor,285
accou,516
accra,12
accue,34
accum,15
accur,25
accus,126
aceae,148
aceho,45
aceme,13
acept,20
aceta,44
aceto,19
acety,12
aceut,19
aceve,29
achab,13
achac,14
achad,747
achai,1322
achal,18
achan,266
achar,1215
achas,1441
achaí,85
achda,44
acheb,10
ached,18
acher,96
aches,55
achga,128
achia,297
achie,93
achil,115
achin,39
achla,11
achmh,37
achna,29
achoi,508
achom,283
achra,467
achru,13
achré,10
achta,11980
achte,19
achth,16
achtl,35
achts,15
achtu,15
achtá,630
achtí,10
achtó,246
achtú,546
achum,178
achái,667
achán,846
achói,12
acids,30
acing,12
acion,126
ación,57
ackda,10
acker,127
ackid,14
ackin,12
ackli,15
ackno,30
ackur,25
aclaí,156
acles,13
aclór,42
acmae,16
acmha,772
acmil,16
acnam,22
acnoi,48
acolo,27
acomh,72
acord,42
acorn,20
acoru,14
acost,39
acous,21
acqua,39
acqui,123
acrac,11
acrae,10
acrai,90
acrap,36
acref,29
acres,54
acroc,66
acron,33
acrop,21
acros,214
acsan,13
acted,12
acten,12
acter,103
actes,18
actha,75
actin,228
actio,3935
actiu,61
activ,889
acton,29
actor,191
actre,129
actua,271
actur,51
actus,10
acula,54
acule,22
acumi,20
acusa,64
acuta,15
acute,78
acuti,18
acutu,20
acáid,34
acáin,190
acáit,55
acána,14
acúst,21
adach,2478
adadh,472
adaig,282
adaim,425
adain,50
adair,65
adais,1026
adait,20
adalb,16
adama,25
adamh,2056
adamn,38
adams,580
adamu,13
adana,29
adann,11
adanó,30
adapt,100
adare,38
adarn,16
adata,19
adaío,192
addau,16
addca,16
addcl,251
added,361
adden,12
addfa,21
addhe,13
addho,15
addic,56
addin,1180
addio,14
addis,74
addit,267
addla,28
addna,16
addpe,19
addpo,13
addre,201
addro,11
addse,18
addta,17
addwa,23
adela,151
adele,169
adeli,12
ademo,14
ademy,12
adena,43
adeni,33
adeno,49
adeod,10
adequ,47
adera,12
aderc,14
adern,13
aderr,26
aders,885
adesh,75
adeto,11
adfba,17
adger,27
adhac,153
adhai,262
adhal,35
adham,139
adhar,293
adhas,22
adhbh,17
adher,15
adhla,409
adhma,969
adhmh,93
adhna,25
adhra,113
adhrt,23
adhrá,12
adian,204
adida,152
adieu,18
adige,12
ading,23
adion,14
adipi,13
adiro,10
adiós,10
adjac,25
adjec,47
adjou,10
adjus,516
adlai,11
