word,count
aaaaa,2224
aaaac,13
aaaai,73
aaaam,62
aaaay,30
aaaca,35
aaaia,41
aaaib,41
aaama,93
aaamb,30
aaaož,98
aaaya,55
aabad,22
aabat,11
aabbc,23
aaben,28
aacaa,45
aaccc,61
aache,172
aacta,24
aaffa,140
aaiaa,211
aaiba,14
aakhm,70
aakia,71
aakin,11
aakis,24
aakės,38
aalbo,157
aalen,72
aales,109
aalge,11
aaliy,52
aalph,82
aalst,81
aalto,171
aamaa,119
aamba,15
aamir,12
aamod,16
aamže,10
aamži,230
aamžė,32
aanda,48
aandt,10
aanij,10
aanis,14
aapai,22
aappu,15
aaral,25
aarau,183
aarch,17
aarde,37
aardm,49
aardv,18
aares,17
aarga,26
aargm,13
aarhu,166
aarne,27
aarom,13
aaron,1038
aarsc,14
aarti,17
aarts,44
aarze,21
aasen,17
aasiv,13
aasla,99
aasse,10
aasta,55
aatak,28
aatle,1937
aatsi,10
aaukš,219
aausi,68
aausė,41
aauto,1395
aavik,14
aašis,24
aašme,67
ababa,78
ababl,16
abaca,11
abach,66
abaci,13
abaco,25
abacu,17
abada,283
abade,37
abadi,55
abado,145
abadu,10
abadą,17
abadž,22
abagn,11
abaha,56
abaja,50
abajo,17
abaju,39
abaka,373
abako,55
abakt,56
abaku,38
abakė,27
abakų,68
abala,43
abalg,11
abali,1000
abalo,25
abals,60
abalu,11
abalė,42
abamb,18
abana,68
abanc,20
aband,545
abang,40
abank,59
abano,47
abant,23
abara,135
abarb,14
abari,265
abaro,35
abars,19
abart,162
abary,13
abarz,21
abasa,175
abase,25
abash,35
abasi,500
abask,11
abasl,11
abaso,65
abass,29
abast,12
abasy,11
abasą,10
abata,185
abate,42
abati,617
abato,31
abatu,37
abatą,11
abatė,64
abatų,10
abauj,39
abaus,39
abava,30
abavo,28
abaza,28
abazi,50
abaše,16
abaši,80
abbad,20
abban,25
abbar,30
abbas,295
abbat,46
abbay,57
abbaz,12
abbel,32
abbev,41
abbey,312
abbff,13
abbia,28
abbie,29
abbil,18
abbin,13
abbis,20
abbit,19
abbon,35
abbot,222
abbou,10
abbre,12940
abbri,18
abbru,98
abcab,16
abcde,194
abcga,165
