word,count
aaaaa,2769
aaaac,37
aaaaf,19
aaaai,68
aaaam,41
aaaca,35
aaaia,22
aaaib,39
aaama,42
aaamb,17
aacaa,50
aaccf,21
aache,98
aacij,24
aacsb,42
aacta,11
aadli,15
aaffa,47
aafia,98
aafil,11
aafla,31
aagaa,14
aagen,31
aagse,70
aahof,34
aaiaa,82
aaiba,20
aalbo,64
aalde,13
aalen,23
aales,74
aalge,38
aalir,16
aalst,31
aalto,80
aamaa,81
aamod,16
aamul,13
aanbo,42
aanda,14
aande,12
aanii,10
aanko,17
aanse,10
aarau,61
aarch,173
aarde,54
aardm,38
aardv,32
aarga,17
aarhu,133
aarne,13
aarnh,28
aaron,372
aarze,47
aasla,11
aasta,143
aaudz,12
aausa,87
aauto,10
aavan,14
aaviz,32
ababa,75
abaci,13
abaco,20
abacu,11
abada,139
abadi,22
abado,20
abadā,13
abaei,11
abagn,32
abain,41
abaja,98
abajo,12
abajs,26
abaka,129
abako,61
abaks,18
abaku,56
abala,350
abald,12
abali,719
aball,83
abaln,14
abalo,18
abals,767
abalt,51
abalu,786
abalv,3902
abalā,15
abana,207
aband,1265
abanj,11
abank,63
abart,21
abarī,38
abasa,44
abasi,32
abask,18
abasm,11
abaso,28
abass,106
abasu,21
abasī,54
abata,59
abate,65
abati,570
abato,36
abats,112
abatu,49
abaus,33
abava,1514
abavi,21
abavm,17
abavn,51
abavu,49
abavā,48
abaza,26
abazn,118
abazī,46
abaša,13
abaši,13
abaūj,77
abbad,17
abbag,12
abbao,123
abbas,371
abbat,25
abbev,19
abbie,16
abbil,19
abbit,16
abbni,30
abbot,185
abbou,10
abbre,387
abbās,12
abcas,130
abcde,419
abcij,21
abcne,154
abdal,118
abdan,13
abdas,10
abdel,512
abden,18
abder,60
abdes,31
abdic,16
abdij,11
abdil,22
abdir,21
abdol,27
abdom,132
abdou,49
abdra,20
abdrl,10
abduc,35
abduk,21
abdul,1754
abdum,42
abdur,88
abdus,76
abduļ,27
abduž,20
abdēr,10
abdīl,10
abdža,51
abeat,78
abeba,10
abebe,15
abebo,16
abece,20
abedi,29
abeil,55
abeja,14
abejl,11
abela,73
abele,60
abelh,11
abeli,92
abell,99
abelm,12
abelp,41
abels,130
abelu,23
abelā,24
abena,43
abenb,14
abend,74
abenl,10
abens,32
abent,10
abera,33
aberb,66
aberd,455
aberg,37
aberi,29
aberk,16
abern,28
aberr,21
abers,18
abert,40
aberā,30
abesī,66
abgab,11
abgar,25
abgas,138
abgat,16
abgeo,13
abger,41
abgul,29
abgum,22
abgun,115
abhan,37
abhat,37
abhaz,10
abhid,16
abhij,15
abhin,16
abhis,25
abhmj,12
abhur,11
abhāz,1056
abich,14
abida,23
abidi,24
abidj,24
abidā,20
abidī,11
abidž,128
abied,236
abiem,1188
abier,15
abies,219
abiet,49
abiga,30
abige,20
abija,37
abijs,21
abika,12
abile,23
abili,235
abilo,37
abilā,34
abilī,13
abina,27
abing,27
abini,1070
abins,139
abiot,40
abird,13
abisā,62
abitb,10
abite,20
abiti,11
abito,12
abitu,15
abitū,22
abizo,18
abiļe,29
abjad,12
abjas,50
abjat,10
abjie,15
abjum,103
abkai,11
abkha,131
abksn,115
abkst,23
ablas,10
ablat,32
abled,25
ablei,22
ablen,56
ables,117
ablet,21
ablij,19
ablik,50
ablis,138
abloc,11
ablok,11
ablon,56
ablāc,21
abmek,14
abnas,14
abner,26
abnes,19
abnij,38
abnor,56
aboar,63
aboja,14
abojā,16
abola,40
abole,109
aboli,205
abols,24
abolt,58
abome,11
