word,count
aaaaa,158
aaaai,13
aaaia,12
aaama,21
aaaqb,26
aaiaa,13
aalbo,17
aales,25
aalst,23
aamaa,11
aapra,27
aaqba,17
aarde,11
aardv,13
aarhu,25
aaron,147
aasiv,14
aasta,14
ababa,22
abadi,31
abahu,11
abajo,11
abaku,10
aball,68
abamb,10
abana,36
aband,101
abane,10
abare,16
abase,12
abate,32
abaxx,13
abbad,12
abban,880
abbas,214
abbat,59
abbaz,568
abbaż,1841
abbia,11
abbil,102
abbis,10
abbli,374
abbon,112
abbor,162
abbot,23
abbou,16
abboz,311
abbre,13094
abbun,397
abbuż,153
abdal,49
abdel,96
abder,20
abdik,76
abdil,24
abdol,10
abdou,18
abdul,247
abdur,13
abegg,10
abela,461
abeli,13
abelj,32
abell,36
abels,12
abend,25
aberd,77
abern,11
abeza,25
abhan,11
abhin,14
abhis,11
abida,13
abidj,50
abier,11
abies,21
abiga,24
abild,20
abile,10
abili,124
abine,32
abing,14
abise,12
abiss,45
abita,3327
abite,10
abitu,55
abjad,1006
abkaż,35
abkha,20
abkin,12
ables,29
ablik,14
ablon,86
abode,12
abola,10
aboli,285
abome,33
abonn,22
abora,44
abori,222
abort,87
about,1534
above,370
abrad,17
abrah,211
abral,31
abram,153
abras,29
abrer,37
abreu,28
abrev,13
abrid,14
abrig,132
abril,27
abroa,31
abruf,17
abruz,39
absen,21
absol,85
abstr,168
absva,10
abtei,15
abuba,16
abudh,12
abuja,61
abula,39
abund,19
aburr,24
abuse,57
abusi,13
adalb,24
adama,19
adame,10
adami,196
adamo,15
adams,159
adamu,10
adana,14
adapi,76
adapt,87
adaqu,10
adatt,628
adava,10
addat,98
added,240
addin,66
addio,32
addis,33
addit,187
addiz,410
addol,86
addor,11
addot,27
addoċ,17
addre,125
addsh,12
addux,10
adeba,18
adegw,101
adela,139
adele,34
adeli,15
adell,10
adelp,27
adels,21
ademi,454
adena,26
adent,46
adeod,36
adere,54
aders,73
adesh,182
adeva,20
adevi,29
adexx,115
adeżj,176
adhan,27
adher,10
adhik,11
adian,10
adida,91
adieu,13
adige,42
adill,11
adina,16
ading,14
adinh,11
adion,15
adita,12
aditt,23
adizz,30
adjus,59
adler,23
admin,427
admir,153
admit,16
adnan,12
adnes,19
adnkr,14
adobe,14
adole,86
adolf,202
adolo,32
adolp,48
adoni,34
adopt,52
adora,101
adore,38
adori,20
adorn,16
adott,769
adozz,125
adrar,15
adres,17
adria,408
adrid,65
adrie,52
adrij,288
adult,318
adura,13
adust,34
aduta,11
aduċi,67
aduċu,23
advai,10
advan,209
adven,125
adver,38
advis,103
adwaw,14
aedes,19
aedis,11
aegea,24
aelur,14
aemet,48
aenol,174
aentr,11
aeoli,27
aerea,25
aeria,302
aerna,67
aerod,18
aeron,29
aerop,100
aeros,32
aerul,13
aesar,44
aesth,30
aetan,18
aetus,12
afelj,11
afell,32
aferr,41
afeta,25
affai,176
affar,1157
affax,47
affaċ,31
affer,99
affet,431
affez,18
affid,109
affil,328
affin,64
affir,16
affis,13
afflu,13
affor,49
affre,905
affro,41
affum,22
afgan,293
afgha,105
afija,1417
afiji,12
afika,361
afiku,168
afisk,10
afiċi,185
aflaj,33
afons,102
afori,14
aform,572
afrai,15
afrik,3714
afriq,64
afroa,19
afrod,98
afrop,13
afros,18
afrot,76
aftan,11
after,811
afthu,28
agade,43
agadi,98
again,349
agala,11
agali,13
agani,13
agant,24
agape,11
agapi,10
agara,34
agari,11
agase,13
agass,12
agast,23
agata,64
agath,102
agave,47
agazi,20
agdam,14
agema,34
agena,354
agend,33
agent,43
agenz,15
agesi,51
ageur,13
agger,40
aggio,22
agglo,123
aggra,40
aggre,354
aggte,19
aghla,48
aghma,12
agias,10
agili,33
aging,11
agios,33
agira,11
agiri,18
agius,344
aglab,60
aglia,184
aglio,14
agmit,12
agnel,16
agnes,56
agnol,13
agnos,31
agoni,20
agora,114
agost,190
agovv,12
agram,15
agrar,120
agrat,65
agree,140
agret,27
agrig,67
agrik,1411
agrip,12
agron,19
agrop,21
agrou,16
aguar,11
aguas,41
aguil,45
aguir,14
aguna,10
aguni,16
agupt,19
agust,148
agwar,16
agħab,135
agħar,292
agħat,37
agħbu,90
agħfa,53
agħla,11
agħma,17
agħme,45
agħti,49
agħtu,54
agħże,10
ahana,10
ahara,18
ahbar,13
ahead,55
ahhar,68
ahier,17
ahiex,19
ahill,31
ahist,15
ahjar,15
