word,count
aaaaa,14481
aaaab,12
aaaac,766
aaaaf,105
aaaag,11
aaaah,30
aaaai,373
aaaaj,27
aaaam,247
aaaaq,115
aaaar,15
aaaay,121
aaaba,10
aaaca,4770
aaado,22
aaage,12
aaahh,36
aaaia,494
aaaib,1052
aaama,823
aaamb,306
aaaml,15
aaamz,39
aaand,10
aaang,18
aaanm,108
aaaqa,830
aaaqb,1020
aaard,17
aaarg,24
aaarr,17
aaast,10
aaaya,996
aabaa,21
aabac,21
aabar,12
aabat,180
aabbc,23
aabbd,12
aabbo,26
aabcc,29
aabde,13
aabec,129
aabed,14
aabee,52
aaben,727
aaber,56
aabgw,31
aabid,13
aabla,20
aabne,27
aaboe,14
aabou,35
aabow,11
aabsp,31
aabyb,100
aabye,50
aacaa,1486
aacad,11
aacca,16
aaccc,25
aacce,10
aaccf,44
aache,7204
aachq,17
aacht,59
aacko,74
aacql,46
aacrj,38
aacsb,52
aacta,231
aacti,11
aactp,41
aacut,18
aadaa,30
aadad,12
aadah,16
aadal,16
aadam,17
aadan,20
aadap,14
aadba,670
aadbe,100
aadbl,13
aadbo,30
aadbr,19
aadbu,19
aadce,10
aadco,73
aadde,78
aaddf,46
aaddi,14
aaddo,32
aadee,36
aadef,13
aadel,42
aader,11
aades,10
aadfa,24
aadga,12
aadge,25
aadgl,11
aadha,36
aadhe,11
aadho,61
aadhu,49
aadia,116
aadin,12
aadit,12
aadiz,30
aadje,355
aadka,154
aadke,37
aadki,10
aadko,29
aadkr,50
aadku,12
aadla,78
aadle,10
aadli,17
aadlo,10843
aadma,102
aadme,19
aadmi,40
aadmo,45
aadnc,17
aadni,15
aadol,202
aador,204
aadpa,64
aadpl,94
aadpo,131
aadpr,13
aadre,11
aadri,24
aadru,28
aadsb,57
aadsc,423
aadse,274
aadsg,33
aadsi,24
aadsk,24
aadsl,4339
aadsm,18
aadsn,33
aadsp,76
aadss,181
aadst,137
aadsv,1632
aadsw,11
aadsy,21
aadsz,40
aadta,25
aadte,22
aadti,15
aadto,14
aadva,2008
aadve,60
aadvo,36
aadwa,39
aadwe,21
aadza,14
aaeac,15
aaenh,30
aaenm,24
aafba,65
aafbe,33
aafbr,11
aafde,2873
aafdh,29
aafed,12
aaffa,517
aafff,31
aaffi,18
aafge,29
aafia,43
aafje,675
aafka,33
aafke,387
aafla,28
aafou,12
aafpl,1180
aafte,14
aafti,319
aafze,31
aagaa,186
aagan,10
aagar,16
aagba,44
aagbe,10
aagbl,14
aagde,1516
aagdo,28
aagdu,16
aagen,22
aageo,13
aagep,10
aages,27
aagfo,63
aagga,10
aaggi,11
aaggr,81
aagha,22
aagii,30
aagij,37
aagin,13
aagje,738
aagko,11
aagla,33
aagli,59
aagma,37
aagmo,461
aagna,14
aagnu,374
aagor,11
aagot,48
aagpa,16
aagpr,59
aagri,16
aagsc,41
aagse,13376
aagsf,11
aagsh,41
aagsp,15
aagst,397
aagtd,27
aagte,555
aagth,17
aagts,13
aagvi,44
aagwo,14
aagza,564
aahme,12
aahur,12
aaiaa,247
aaiac,1536
aaiam,55
aaiba,360
aaibe,11
aaibl,15
aaibr,45
aaich,22
aaicu,23
aaide,980
aaidi,15
aaidu,468
aaien,4170
aaier,905
aaige,425
aaigr,16
aaiil,11
aaiin,805
aaije,102
aaike,44
aaiki,16
aaili,25
aaima,171
aaina,12
aaipo,28
aairp,16
aaisc,32
aaish,38
aaiso,10
aaist,113
aaita,16
aaitd,414
aaitj,42
aaivi,526
aaiwe,27
aaiya,49
aaizw,14
aakad,41
aakar,16
aakas,14
aakav,23
aakba,357
aakbe,28
aakel,25
aaken,91
aaker,143
aakgr,10
aakho,13
aakhr,36
aakir,107
aakje,612
aakkn,13
aakme,19
aakmi,13
aakmo,98
aakor,47
aakov,15
aakpa,18
aakpl,33
aakpo,129
aakpr,39
aakra,17
aakre,67
aakro,55
aakse,63
aaksi,78
aaksl,15
aakso,22
aakst,475
aakte,2288
aakto,52
aakts,86
aakve,13
aakvi,202
aakvl,20
aakvo,26
aakwe,42
aakza,19
aalaa,67
aalac,524
aalad,20
aalaf,19
aalal,11
aalam,22
aalan,141
aalar,134
aalas,32
aalat,25
aalba,668
aalbe,2458
aalbi,861
aalbl,422
aalbo,5836
aalbr,214
aalbu,1526
aalca,27
aalch,17
aalci,33
aalcl,72
aalco,106
aalcu,12
aalda,31
aalde,8276
aaldh,64
aaldi,129
aaldk,10
aaldo,83
aaldr,98
aaldu,14
aalei,42
aalen,1343
aaler,159
aales,871
aalex,20
aalfa,69
aalfe,81
aalfi,36
aalfo,17
aalfr,18
aalfs,42
aalfu,15
aalge,273
aalgi,15
aalgl,25
aalgo,216
aalgr,42
aalha,39
aalhe,31
aalho,136
aalhu,15
aalhy,45
aalia,15
aalie,14
aalin,350
aalis,17
aalit,51
aaliy,412
aalja,13
aalje,14
aalka,208
aalke,89
aalki,11
aalkl,11
aalko,125
aalkr,312
aalku,29
aalkw,26
aalla,29
aalle,82
aalli,45
aallo,27
aallp,41
aalma,422
aalme,423
aalmi,17
aalmo,1840
aalmu,323
aalna,49
aalne,25
aalni,13
aalno,23
aalnu,16
aaloe,14
aalol,11
aalom,84
aalon,35
aaloo,18
aalop,116
aalou,10
aalov,46
aalpa,109
aalpe,14
aalph,107
aalpi,10
aalpl,76
aalpo,64
aalpr,97
aalps,39
aalpu,18
aalqu,21
aalra,20
aalre,301
aalri,202
aalro,18
aalru,23
aalsa,93
aalsb,79
aalsc,1527
aalsd,36
aalse,1280
aalsg,14
aalsh,280
aalsi,45
aalsk,26
aalsl,41
aalsm,6720
aalso,17
aalsp,304
aalsr,182
aalss,94
aalst,28119
aalsu,468
aalsv,84
aalsw,12
aalsy,16
aalta,22
aalte,7057
aalth,52
aalti,255
aaltj,1840
aalto,1228
aaltr,37
aaltu,25
aalui,74
aaluk,30
aalva,61
aalve,1592
aalvi,105
aalvl,84
aalvo,130
aalvu,29
aalwa,580
aalwe,69
aalwi,41
aalwo,287
aalza,2199
aalze,41
aalzo,24
aalzu,46
aalzw,20
aamaa,1297
aamar,24
aamat,17
aamba,82
aambe,870
aambo,27
aamby,15
aamca,80
aamco,11
aamda,12
aamde,34852
aamdr,15
aamel,13
aamen,49
aamer,42
aames,37
aamfo,10
aamga,60
aamge,149
aamhe,23177
aamho,16
aamin,26
aamir,178
aamku,17
aamlo,30
aammo,10
aamna,30
aamni,38
aamod,386
aamon,12
aampj,127
aamra,20
aamru,263
aamsb,85
aamsc,827
aamse,18974
aamsg,65
aamsh,12
aamsi,79
aamsm,18
aamst,18815
aamsv,84
aamsw,16
aamuj,11
aamul,13
aamun,15
aamup,10
aamuu,20
aamve,46
aamvu,13
aamwa,25
aamwe,19
aamwi,10
aamwo,3964
aamzu,13
aanaa,28
aanac,56
aanad,28
aanaf,17
aanal,70
aanam,28
aanan,14
aanar,623
aanba,1134
aanbe,13481
aanbi,14013
aanbl,1649
aanbo,17674
aanbr,5443
aanca,13
aance,41
aanch,27
aanci,38
aanco,77
aanda,45082
aandb,15
aandc,21
aande,70330
aandh,16
aandi,505
aando,14146
aandr,17257
aands,64
