word,count
aaaaa,29988
aaaab,41
aaaac,534
aaaad,33
aaaae,21
aaaaf,360
aaaah,18
aaaai,617
aaaaj,203
aaaak,11
aaaal,11
aaaam,241
aaaaq,91
aaaar,13
aaaaw,10
aaaay,208
aaaba,75
aaabb,161
aaabe,13
aaaca,1068
aaadd,27
aaado,37
aaaeb,20
aaafa,21
aaahh,17
aaaia,857
aaaib,1335
aaama,1732
aaamb,531
aaane,12
aaaqa,516
aaaqb,1291
aaarg,37
aaarr,17
aaaya,1432
aabaa,10
aabab,15
aabac,22
aabal,19
aabat,152
aabba,15
aabbc,565
aabcc,26
aabec,35
aaben,264
aaber,22
aabff,12
aabge,15
aabid,184
aabla,10
aablh,577
aabne,12
aabou,23
aabpb,32
aabra,42
aabro,16
aabsp,54
aabyb,35
aabye,54
aabyh,20
aacaa,414
aacap,31
aacbb,35
aacby,21
aacca,14
aacce,11
aaccf,120
aacdd,10
aacei,31
aacer,12
aaces,101
aache,3221
aacht,20
aacjz,11
aacmn,21
aacpl,16
aacrj,62
aacsb,96
aacta,541
aacti,13
aacut,15
aadah,13
aadam,89
aadda,257
aaddc,10
aadde,10
aaddf,49
aadel,11
aader,20
aades,22
aadha,43
aadho,17
aadik,12
aadil,11
aadit,10
aadla,42
aadmi,61
aadne,60
aador,40
aadot,10
aadre,114
aadri,20
aadsb,21
aadva,13
aadys,19
aadzb,11
aaeac,10
aaeef,35
aaevp,14
aafce,17
aafed,43
aaffa,2511
aafff,23
aafia,198
aafil,63
aafje,47
aafke,28
aafla,61
aafri,25
aafss,14
aafte,11
aafti,150
aagaa,191
aagen,29
aages,24
aaghe,17
aagii,21
aagij,170
aagje,25
aagjy,12
aagla,17
aagot,38
aagps,23
aagro,27
aagse,338
aagte,23
aahan,11
aahis,11
aahme,13
aahun,12
aaiaa,503
aaiba,304
aailq,27
aaina,12
aairl,10
aairp,127
aaish,15
aaius,15
aajat,11
aajmi,18
aakad,25
aakar,11
aakas,12
aakcj,31
aaken,22
aaker,59
aakhm,35
aakhr,23
aakif,46
aakir,61
aakko,46
aakra,16
aakre,33
aakro,27
aaksi,31
aakso,110
aakto,76
aaktu,113
aakty,12
aalai,136
aalan,87
aalar,13
aalba,31
aalbe,118
aalbo,4683
aalbu,321
aalde,106
aalei,92
aalek,17
aalen,1034
aaler,15
aales,992
aalex,15
aalfa,18
aalfo,11
aalge,56
aalia,15
aalib,12
aalie,33
aalin,26
aalis,30
aalit,78
aaliy,806
aalla,16
aalle,14
aallo,22
aalma,12
aalmu,13
aalon,11
aalph,261
aalse,38
aalsm,74
aalst,2484
aalta,13
aalte,113
aaltj,22
aalto,2701
aaluk,10
aalup,11
aalva,15
aalvi,51
aalwa,20
aalza,37
aamaa,541
aamad,10
aaman,12
aamar,15
aamat,20
aamba,150
aamda,12
aamer,167
aames,74
aamin,11
aamio,16
aamip,17
aamir,554
aamne,10
aamod,1069
aamon,15
aampb,17
aamse,70
aamul,70
aamun,36
aamus,15
aamve,52
aanal,24
aanan,20
aanbi,30
aanbo,18
aanch,31
aanci,17
aanda,157
aandc,11
aande,101
aandh,20
aandi,97
aando,20
aandr,135
aanei,25
aanej,12
aanen,16
aanep,13
aanes,122
aanga,217
aange,73
aangl,17
aanho,104
aanhu,11
aania,14
aanie,17
aanim,30
aanit,17
aanje,21
aankh,79
aanko,131
aanna,42
aanne,13
aanno,12
aanon,10
aanru,22
aansc,13
aanse,120
aansl,30
aanso,19
aanst,12
aanta,63
aante,37
aanti,14
aanto,15
aantu,10
aanva,51
aanvo,24
aanwe,17
aanwi,27
aanya,16
aanzi,17
aaote,10
aapaj,12
aapel,18
aapke,90
aapko,36
aapne,54
aapol,16
aapos,11
aappi,67
aappu,89
aapra,13
aapti,11
aapto,13
aapuc,12
aaqaa,157
aaqba,1195
aaqua,22
aaraa,132
aarab,35
aaral,12
aaram,11
aaran,32
aaraq,14
aarar,14
aaras,18
aarat,10
aarau,1307
aarbe,129
aarbo,14
aarbu,103
aarch,91
aarct,12
aarda,180
aardc,12
aarde,1237
aardi,59
aardl,53
aardm,88
aardo,55
aardr,17
aards,73
aardt,63
aardu,61
aardv,145
aardw,56
aardz,30
aarea,104
aareg,42
aarel,38
aaren,60
aares,60
aaret,69
aarfl,13
aarga,353
aargh,10
aargl,12
aargm,27
aarhu,4430
aaria,30
aaric,46
aarie,24
aarif,26
aarig,38
aarik,28
aarin,18
aarka,20
aarle,37
aarna,41
aarne,573
aarni,252
aarno,75
aaroa,10
aarog,10
aaron,17242
aarra,17
aarre,39
aarrg,14
aarsa,17
aarsc,71
aarsd,13
aarse,184
aarsh,12
aarsk,39
aarsl,25
aarst,60
aarta,12
aarte,29
aarth,43
aarti,114
aartj,10
aartr,13
aarts,179
aartu,18
aarty,193
aarup,35
aarva,11
aarwa,25
aaryn,49
aarze,24
aarzo,23
aarón,341
aasai,10
aasan,40
aasbe,12
aaseb,15
aasec,12
aasem,17
aasen,493
aaser,10
aasfe,10
aasga,57
aasha,18
aashe,19
aashi,130
aashn,15
aasia,135
aasif,47
aasiv,18
aaske,16
aasko,22
aasla,50
aasle,30
aasma,26
aasmu,42
aaspe,13
aaspr,11
aasse,113
aasta,473
aaste,14
aastm,14
aastr,39
aasum,16
aasuv,22
aatak,12
aatam,29
aatan,45
aatar,183
aatea,11
aaten,19
aateq,10
aates,11
aatho,10
aatif,18
aatis,17
aatko,10
aatla,17
aatle,27
aatma,27
aatos,132
aatra,31
aatre,32
aatri,37
aatsc,10
aatse,23
aatte,21
aatto,72
aatwv,26
aaudi,26
aaugu,15
aauri,64
aausp,74
aauth,16
aauto,36
aaval,211
aavas,10
aavat,17
aaveg,29
aaver,41
aavet,11
aavik,164
aavoj,10
aavso,181
aawar,23
aawom,21
aawsa,75
aawsk,19
aayaa,290
aayee,21
aayer,24
aayir,30
aayit,18
aayla,18
aayxi,11
aazar,13
aazbo,12
aazra,13
abaaa,17
abaab,22
abaak,24
abaal,13
abaao,14
abaar,21
ababa,333
ababb,108
ababc,142
ababd,16
ababe,24
ababi,33
ababk,190
ababu,12
abaca,89
abacc,23
abace,171
abach,988
abaci,72
abacj,113
aback,49
abaco,219
abact,18
abacu,266
abacy,18
abacz,20
abada,461
abadd,282
abade,190
abadi,851
abado,65
abads,18
abadu,208
abady,15
abadz,639
abadż,119
abaee,38
abaei,26
abaek,25
abael,15
abaet,93
abaeu,18
abaev,16
abafa,11
abaff,39
abafi,10
abaga,68
abagi,69
abagn,199
abagt,10
abaha,127
abahl,62
abahn,23
abahu,18
abaia,41
abaid,25
abaij,10
abain,13
abair,72
abaix,19
abaja,103
abaje,85
abaji,29
abajo,404
abajs,72
abajt,15
abaka,2450
abake,39
abakh,15
abaki,57
abako,71
abaks,31
abakt,26
abaku,593
abala,380
abald,40
abale,85
abali,308
abalj,50
aball,280
abalo,423
abalt,42
abalu,22
abaly,42
abama,94
abamb,138
abame,31
abami,26
abana,641
abanc,416
aband,2282
abane,79
abang,150
abani,187
abank,681
abano,204
abans,16
abant,305
abany,23
abaoj,33
