word,count
aaaaa,10489
aaaab,33
aaaac,924
aaaad,26
aaaae,46
aaaaf,589
aaaag,31
aaaah,32
aaaai,2306
aaaaj,193
aaaak,19
aaaal,28
aaaam,1043
aaaan,29
aaaao,13
aaaap,15
aaaaq,320
aaaar,27
aaaat,10
aaaax,13
aaaay,522
aaaaz,13
aaaba,24
aaabb,31
aaabc,15
aaaca,2240
aaacc,13
aaach,14
aaacm,15
aaacs,10
aaade,11
aaado,11
aaaeb,83
aaaed,21
aaafa,50
aaafb,10
aaafc,15
aaafe,15
aaaga,10
aaahh,64
aaahq,13
aaaia,2163
aaaib,6279
aaalg,17
aaama,5231
aaamb,3348
aaana,11
aaane,84
aaaoc,26
aaapb,41
aaaqa,1443
aaaqb,4752
aaarc,17
aaare,11
aaarg,12
aaarl,10
aaask,10
aaass,20
aaata,40
aaavc,11
aaaya,4524
aabaa,28
aabab,10
aabac,26
aabae,10
aabar,11
aabat,17
aabba,19
aabbc,77
aabbp,22
aabbs,12
aabcc,189
aabde,13
aabec,11
aabed,16
aabeg,22
aabel,20
aaben,72
aaber,52
aabid,11
aabob,12
aaboe,57
aabou,2790
aabra,54
aabre,12
aabri,16
aabsp,13
aabur,12
aabya,20
aabyb,15
aabye,28
aacaa,884
aacad,88
aacan,12
aacap,22
aacar,79
aacay,13
aaccb,39
aaccc,70
aaccf,164
aacei,10
aache,2433
aachi,21
aacip,26
aacla,14
aacon,24
aacor,32
aacpd,46
aacrj,150
aacsb,128
aacsp,11
aacta,635
aacti,61
aactu,18
aacus,10
aacut,801
aadaa,10
aadab,86
aadaf,11
aadah,20
aadai,15
aadam,24
aadan,46
aadda,71
aaddd,14
aadde,11
aaddf,15
aadel,58
aadem,11
aadep,11
aades,18
aadfa,30
aadfi,12
aadha,54
aadhi,19
aadik,29
aadit,13
aadla,39
aadmi,101
aadnc,55
aador,50
aadri,28
aadul,55
aadva,31
aaeac,13
aaeba,14
aaeec,15
aaeef,14
aaeex,14
aaeff,23
aaelg,12
aaema,60
aaemu,25
aaere,391
aaero,22
aaesp,23
aaets,11
aafca,38
aafdl,52
aafes,10
aaffa,4030
aafff,216
aafia,124
aafin,46
aafir,12
aafje,11
aafla,688
aafon,17
aafos,10
aafpr,12
aafre,19
aafrh,15
aafri,114
aafro,13
aafzr,106
aagaa,142
aagal,25
aagar,10
aagbf,26
aagen,33
aages,58
aaggn,21
aaggp,34
aaggs,30
aaggx,95
aagii,11
aagio,10
aagje,49
aagor,34
aagot,24
aagse,92
aagte,13
aagua,42
aaguc,14
aagui,16
aahah,14
aahis,18
aahme,14
aahum,12
aahwe,11
aaiaa,1063
aaiad,10
aaiba,1413
aaigu,14
aaihs,31
aaini,165
aaira,22
aairp,51
aaish,19
aaitd,12
aaite,23
aaiun,15
aaiún,51
aajgb,38
aajta,21
aakal,18
aakan,14
aakar,19
aakas,31
aaken,11
aaker,197
aakho,19
aakhr,12
aakka,23
aakre,15
aakso,37
aalai,17
aalam,16
aalan,38
aalba,40
aalbc,63
aalbe,76
aalbm,14
aalbo,694
aalbr,12
aalbu,155
aalch,15
aalco,15
aalde,75
aaldi,27
aaleg,58
aalem,17
aalen,290
aaler,11
aales,267
aalet,35
aalex,53
aalfa,22
aalge,45
aalha,16
aalia,33
aalie,13
aalim,15
aalis,28
aalit,18
aaliy,4515
aalka,15
aalla,21
aalle,26
aalli,22
aallo,26
aallp,61
aalma,15
aalme,22
aalmu,16
aalok,10
aalon,15
aalow,24
aalpa,28
aalph,69
aalsm,76
aalst,585
aalta,61
aalte,108
aaltj,31
aalto,991
aaltr,10
aaluj,19
aalva,17
aalve,44
aalvi,41
aamaa,1696
aamac,73
aamad,20
aamai,11
aamar,68
aamas,13
aamat,48
aamaz,38
aamba,955
aambi,13
aambm,12
aamdl,18
aamea,23
aamer,209
aames,42
aamft,48
aamic,265
aamin,28
aamio,1300
aamir,193
aamiz,16
aamma,14
aammd,22
aamna,15
aamod,112
aamol,10
aamor,22
aampe,10
aamrs,27
aamse,118
aamst,10
aamul,63
aamun,13
aamur,12
aamus,13
aamve,18
aamzn,20
aanaa,21
aanal,61
aanan,12
aanar,14
aanbi,21
aanbo,10
aanch,55
aanci,3691
aanda,338
aandc,70
aande,170
aandi,264
aandm,15
aando,22
aandr,110
aands,14
aandt,58
aanei,17
aanen,36
aanep,16
aaner,309
aanes,87
aanet,18
aanga,17
aange,258
aangl,43
aanha,25
aanho,88
aania,79
aanic,39
aanij,14
aanim,25
aanio,199
aanis,117
aanit,38
aanjo,14
aankh,24
aanko,102
aanle,16
aanna,12
aanne,15
aanno,17
aannu,12
aanon,32
aanoo,15
aanos,12
aanpa,15
aanpu,11
aanru,14
aansc,23
aanse,133
aansi,24
aansl,73
aanso,10
aanst,23
aanta,56
aante,108
aanti,92
aanto,40
aantr,12
aantu,13
aanus,37
aanva,52
aanvo,13
aanwe,14
aanwi,40
aanzi,13
aaosw,18
aapac,34
aapah,15
aapan,26
aapar,32
aapbb,38
aapen,17
aapke,17
aapko,12
aapol,11
aapor,33
aapos,24
aappb,10
aappe,28
aappi,52
aappr,24
aapps,23
aappu,158
aapra,29
aapre,69
aapse,14
aapto,33
aaptu,12
aapur,10
aaqaa,342
aaqba,3932
aaque,38
aaqui,36
aaraa,29
aarab,22
aarac,54
aaram,20
aaran,26
aarao,63
aarar,34
aarau,812
aarbe,49
aarbo,24
aarbr,26
aarbu,26
aarca,20
aarch,95
aarcl,216
aarco,11
aarct,36
aarda,58
aardb,25
aarde,533
aardi,69
aardm,365
aardo,26
aardr,17
aards,48
aardt,32
aardv,240
aardw,25
aarea,1374
aareg,136
aarel,11
aaren,44
aares,25
aaret,55
aarga,770
aarge,69
aargh,15
aargm,10
aargu,26
aarhu,1746
aaria,246
aarif,21
aarig,16
aarik,12
aario,37
aaris,19
aarkr,19
aarlc,13
aarle,26
aarlo,16
aarma,35
aarme,32
aarna,18
aarne,305
aarni,54
aarno,54
