word,count
aaaaa,3093
aaaab,26
aaaac,189
aaaad,66
aaaae,26
aaaaf,312
aaaah,18
aaaai,502
aaaaj,35
aaaal,13
aaaam,197
aaaan,13
aaaaq,108
aaaay,115
aaaba,24
aaabc,14
aaabd,11
aaaca,314
aaacb,19
aaacd,15
aaada,12
aaadc,16
aaadf,10
aaaeb,28
aaafa,12
aaafb,23
aaafc,10
aaafd,13
aaahh,22
aaaia,459
aaaib,874
aaama,1006
aaamb,351
aaans,10
aaaqa,283
aaaqb,1000
aaass,11
aaaya,792
aabaa,19
aabab,11
aabac,16
aabae,17
aabat,83
aabba,10
aabbc,25
aabca,15
aabcc,43
aabcd,11
aabce,13
aabdb,10
aabdd,16
aabed,10
aaben,43
aabfa,13
aabfb,10
aabfd,10
aabff,21
aaboe,11
aabou,30
aabsi,15
aabyb,13
aabye,24
aabyo,34
aacaa,172
aacad,13
aacbb,10
aacbc,22
aacbd,13
aaccf,66
aacci,25
aacdc,12
aacdf,11
aacea,14
aacfd,17
aacfe,12
aache,1499
aachs,17
aacrj,17
aacsb,29
aacta,379
aacti,11
aactu,1226
aacut,19
aadad,10
aadda,34
aaddd,14
aaddf,28
aadec,12
aadee,13
aadef,14
aades,11
aadev,12
aadff,12
aadla,16
aadmi,26
aador,80
aaeaa,14
aaeac,29
aaeaf,23
aaeba,17
aaeeb,16
aaeec,18
aaeee,10
aaeef,12
aaefa,68
aafaa,25
aafac,11
aafbc,20
aafca,18
aafcf,12
aaffa,64
aaffd,16
aafff,18
aafia,10
aafje,11
aafla,22
aagaa,82
aagen,14
aagje,15
aagot,32
aagri,12
aagse,14
aahme,13
aaiaa,208
aaiba,215
aairp,30
aakas,15
aaker,26
aakhe,13
aakri,10
aakro,13
aalam,18
aalan,46
aalba,16
aalbe,26
aalbo,567
aalbr,13
aalbu,41
aalde,17
aalen,139
aales,142
aalex,40
aalge,142
aalia,11
aalie,17
aaliy,125
aalla,11
aalph,25
aalsm,24
aalst,187
aalte,62
aaltj,11
aalto,314
aalvi,51
aamaa,349
aamar,10
aamba,98
aamer,25
aames,18
aamir,678
aamod,103
aamse,24
aamsv,11
aanbo,10
aanda,60
aande,44
aandi,39
aandn,48
aandr,15
aands,24
aandt,48
aanei,43
aanes,13
aanga,12
aange,40
aangr,24
aankh,22
aanko,27
aanle,10
aanne,18
aanoo,11
aanse,48
aansl,26
