word,count
aaaaa,2366
aaaac,71
aaaaf,5500
aaaai,139
aaaam,54
aaaay,22
aaaca,124
aaaia,106
aaaib,274
aaama,235
aaamb,167
aaaqa,44
aaaqb,202
aaasp,46
aaaya,204
aabbc,35
aabcc,94
aaber,12
aacaa,29
aacas,12
aaccc,29
aaccf,45
aacfa,29
aache,730
aachs,11
aacrj,22
aacsb,47
aacta,106
aaddd,11
aadmi,58
aaffa,298
aaffc,341
aafro,13
aagaa,48
aaiaa,53
aaiba,54
aaiil,11
aaiún,14
aakci,13
aakhm,15
aakso,12
aalan,12
aalbo,287
aalde,10
aalen,65
aales,68
aalfa,11
aaliy,45
aalph,18
aalst,99
aalta,22
aalte,13
aalto,214
aamaa,95
aamba,49
aamir,10
aamod,87
aamse,12
aamín,10
aanda,31
aanko,10
aapel,13
aapko,15
aapát,16
aaqaa,11
aaqba,267
aarau,106
aarbe,10
aarcl,16
aarct,13
aarde,64
aardv,37
aares,12
aarga,164
aarhu,262
aarne,47
aarni,39
aaron,1366
aarsc,19
aarse,24
aarsk,12
aarts,36
aarya,14
aarón,21
aasen,36
aashe,10
aasia,15
aasiv,20
aasov,11
aasse,11
aasta,11
aatre,10
aauto,17
aaver,23
aavik,21
aavso,18
aawar,12
aayaa,38
aayla,18
ababa,36
abach,12
abaco,77
abacu,24
abada,21
abadd,13
abade,11
abadi,87
abadž,18
abafa,12
abaff,38
abafi,168
abaga,13
abaja,25
abaje,16
abajo,14
abaka,118
abako,10
abaku,95
abala,52
abali,21
abalk,20
abalo,31
abana,49
abanc,33
aband,298
abane,16
abank,150
abann,28
abano,35
abant,33
abaná,15
abané,16
abaný,16
abara,14
abarb,11
abari,16
abart,161
abasc,38
abase,19
abash,13
abasi,102
abask,14
abaso,26
abass,27
abast,35
abasu,23
abasy,41
abasá,15
abata,23
abate,28
abati,31
abatt,17
abaty,32
abauc,13
abauj,41
abaxi,11
abazi,17
abaúj,556
abaši,42
abbad,86
abbag,39
abban,60
abbar,11
abbas,207
abbat,130
abbav,10
abbay,485
abbaz,17
abbec,10
abbeh,36
abbel,11
abbes,43
abbev,526
abbey,731
abbia,20
abbie,26
abbil,34
abbis,19
abbit,47
abbon,42
abbot,523
abbre,241
abbru,26
abbyy,174
abbád,10
abbás,626
abbéh,15
abbév,23
abbúd,26
abcde,575
abcee,14
abcga,29
abcha,26
abchi,21
abchá,597
abcli,34
abcne,161
abcsr,24
abcsv,13
abdal,240
abdar,32
abdel,267
abder,90
abdes,10
abdia,10
abdic,26
abdik,877
abdiá,67
abdoc,11
abdol,12
abdom,104
abdon,24
abdou,51
abdru,25
abduc,40
abduh,12
abduk,73
abdul,1130
abdur,73
abdus,47
abduž,20
abdér,75
abdóm,11
abdón,10
abdža,26
abdžu,38
abeas,18
abeat,156
abeau,39
abeba,143
abebe,59
abebo,29
abeby,21
abece,4165
abeci,32
abedi,13
abegg,72
abeho,25
abeil,65
abein,20
abela,111
abele,21
abeli,142
abell,334
abelm,12
abelo,271
abelp,30
abels,81
abena,57
abend,222
abene,10
abeno,23
abens,26
abent,46
abeok,14
abeov,23
abera,79
aberc,55
aberd,712
aberf,10
aberg,241
aberh,19
abern,56
aberr,18
abert,73
abery,23
aberá,191
abese,12
abess,24
abesí,75
abeta,10
abeti,40
abeto,12
abett,59
abeyl,10
abeľa,10
abfah,24
abfal,18
abfra,12
abgar,44
abgeo,22
abger,63
abges,10
abhai,14
abhan,85
abhid,20
abhij,10
abhin,25
abhis,12
abhok,12
abhor,16
abian,14
abick,30
abida,64
abidi,13
abidj,176
abido,19
abidž,30
abier,246
abies,276
abiet,38
abiga,328
abija,14
abild,35
abile,68
abili,1373
abill,12
abiln,154
abily,27
abima,23
abime,11
abina,60
abine,10
abing,105
abino,66
abins,52
abioc,47
abiog,75
abiot,91
abisk,16
abiso,11
abisz,18
abita,20
abitb,11
abiti,10
abitu,42
abiwo,25
abiya,11
abjad,18
abjur,17
abkco,33
abkha,51
ablad,30
ablai,29
