word,count
aaaaa,5513
aaaab,274
aaaac,202
aaaad,98
aaaae,162
aaaaf,176
aaaag,44
aaaah,19
aaaai,534
aaaaj,101
aaaak,15
aaaal,13
aaaam,424
aaaao,16
aaaap,27
aaaas,14
aaaat,10
aaaau,14
aaaba,87
aaabb,14
aaabd,10
aaabe,23
aaabf,29
aaabg,15
aaabh,12
aaabi,29
aaabj,10
aaabl,27
aaabm,21
aaabn,17
aaabo,11
aaabp,10
aaaca,203
aaada,17
aaadi,13
aaado,14
aaaea,118
aaaeb,11
aaaeg,26
aaaeh,24
aaaei,10
aaaej,10
aaaem,10
aaaer,44
aaaez,31
aaafa,32
aaaga,15
aaagb,21
aaagc,13
aaagd,18
aaagg,40
aaaia,214
aaaib,143
aaaja,10
aaakb,10
aaama,491
aaamb,140
aaarb,21
aaare,56
aaaru,13
aaasa,11
aaase,22
aaasi,10
aaati,14
aaatm,19
aaazu,15
aabaa,47
aabab,17
aabac,19
aabad,16
aabag,71
aabah,123
aabak,16
aabal,50
aabam,16
aaban,12
aabao,29
aabap,28
aabar,36
aabas,30
aabbc,18
aabcc,35
aabfa,56
aabig,10
aabis,10
aabmh,14
aaboe,28
aacaa,370
aacbu,29
aaccc,13
aaces,10
aache,1181
aachn,376
aacov,14
aacrj,20
aacta,20
aadaa,22
aadmi,740
aadmm,21
aadnc,13
aaeaa,39
aaeab,18
aaeac,126
aaeal,12
aaeau,13
aaebf,13
aaeca,17
aaecc,25
aaecf,19
aaeci,15
aaecn,12
aaecp,13
aaecv,18
aaera,15
aaeri,10
aaerm,11
aaezm,15
aaffa,153
aaffc,45
aafla,23
aagaa,38
aagaf,10
aagag,15
aagen,30
aagte,24
aahaa,11
aahia,14
aaiaa,813
aaiab,14
aaiac,10
aaiba,61
aajaa,11
aakaa,12
aaker,21
aakhe,12
aakom,12
aakov,26
aalab,11
aalba,11
aalbe,12
aalbo,85
aalen,65
aales,39
aalka,12
aalke,11
aalom,18
aalov,17
aalph,27
