word,count
aaaaa,11471
aaaab,147
aaaac,169
aaaad,19
aaaaf,266
aaaah,15
aaaai,269
aaaaj,54
aaaam,108
aaaaq,42
aaaay,48
aaaca,299
aaaeb,13
aaahh,51
aaaia,240
aaaib,1174
aaama,516
aaamb,627
aaane,18
aaaqa,211
aaaqb,985
aaaya,600
aabac,32
aabaf,16
aabar,15
aabba,12
aabcc,29
aabec,21
aabel,179
aaben,361
aaber,82
aabeu,15
aabla,17
aabne,51
aabni,11
aaboe,34
aabol,11
aabou,296
aabsp,107
aabyb,19
aabye,33
aacaa,108
aacad,12
aacan,51
aaccc,29
aache,2233
aacko,13
aacrj,18
aacsb,83
aacta,77
aadaa,185
aadah,26
aadam,15
aadat,16
aaddd,19
aadel,36
aader,25
aades,22
aadet,29
aadho,24
aadia,13
aadla,33
aadli,21
aadmi,20
aadnc,34
aadne,10
aadol,22
aador,51
aaeuh,14
aafes,11
aaffa,240
aaffä,23
aafje,10
aafla,69
aafra,10
aagaa,552
aagad,17
aagar,31
aagbf,11
aagen,24
aager,13
aages,93
aagii,22
aagil,15
aagje,27
aagne,15
aagos,10
aagot,103
aagse,305
aagår,54
aahka,11
aahlb,10
aahle,10
aahol,26
aaiaa,116
aaiba,278
aaien,18
aaige,14
aaiil,10
aailm,27
aairp,16
aaiun,49
aajan,11
aajgb,16
aajär,18
aakad,285
aakal,20
aakan,15
aakar,17
aaken,51
aaker,206
aakes,44
aakhe,19
aakho,22
aakir,33
aakka,13
aakko,37
aakre,27
aakso,28
aakte,24
aakti,15
aakun,26
aalaa,29
aalai,30
aalam,48
aalan,98
aalat,11
aalau,18
aalba,42
aalbe,117
aalbo,2117
aalbu,996
aalco,12
aalda,28
aalde,41
aaleg,32
aalei,11
aalen,306
aales,585
aalet,32
aaley,33
aalfa,17
aalfo,12
aalge,36
aalho,25
aalie,26
aalii,12
aalik,21
aalin,30
aalis,68
aalit,74
aaliu,20
aaliv,25
aaliy,1011
aalla,85
aalle,35
aalli,22
aallm,12
aallo,81
aalls,10
aalmi,13
aalon,11
aalph,26
aalsk,10
aalsm,60
aalst,258
aalte,147
aalti,13
aaltj,35
aalto,3016
aalty,12
aalvi,81
aamaa,185
aaman,32
aamat,26
aamba,160
aambe,12
aamen,142
aamer,52
aames,16
aameu,18
aamir,67
aamis,12
aamod,488
aamos,10
aamot,55
aamsc,66
aamse,26
aamul,234
aamun,43
aamup,16
aamus,28
aanaa,23
aanac,14
aanak,13
aanal,13
aanbe,15
aanbi,18
aanch,12
aanci,40
aanda,177
aandc,37
aande,152
aandi,52
aandr,20
aands,35
aanek,11
aanen,50
aaner,64
aanes,77
aanga,12
aange,44
aangs,15
aanho,102
aania,35
aanie,30
aanil,11
aanim,15
aanio,14
aanit,360
aanjä,94
aanka,21
aanko,59
aanlu,17
aanlä,12
aanma,10
aanna,26
aanne,12
aanni,13
aanon,21
aanpa,39
aanri,10
aanru,31
aansa,99
aanse,120
aansk,14
aansl,19
aanss,68
aanst,65
aansv,10
aanta,15
aante,61
aanti,25
aantj,15
aanto,18
aantu,11
aanva,34
aanvä,30
aanwi,15
