word,count
ءافری,10
ءخوات,12
ءسیزن,49
ءمیلب,17
ءکیری,15
اءالد,21
اءالل,56
ااحمد,14
ااسکو,12
االدی,20
ااورا,10
ابابا,182
ابابو,19
ابابک,18
ابابی,86
اباجا,16
اباحت,21
اباحی,13
اباخی,27
ابادا,81
ابادس,12
ابادم,11
ابادی,59
ابارا,83
ابارک,10
ابازا,13
اباسک,22
اباسی,91
اباضی,297
اباظی,30
اباقا,54
ابالا,128
ابالن,26
ابالو,24
ابالی,53
ابانا,32
اباند,22
ابانس,19
ابانو,11
ابانک,13
ابانگ,23
ابانی,34
اباوا,11
اباوی,53
اباچا,17
اباڑو,15
اباکا,32
اباکو,14
اببار,12
ابباس,24
ابتدا,37804
ابتذا,14
ابتری,41
ابتسا,68
ابتلا,97
ابتکا,25
ابجال,14
ابجدا,42
ابجدی,793
ابحاث,47
ابخاز,1583
ابداع,13
ابدال,1247
ابدول,15
ابدیت,48
ابراج,74
ابرار,668
ابراز,12
ابراش,10
ابرام,136
ابران,10
ابراه,216
ابرخس,17
ابرست,10
ابروز,33
ابرکو,98
ابریا,20
ابریش,20
ابریق,23
ابرین,14
ابریک,27
ابزاخ,19
ابزار,72
ابزرو,24
ابسول,17
ابسکا,40
ابشار,58
ابشال,21
ابشیر,29
ابصار,193
ابصان,14
ابطال,64
ابطحی,17
ابعاد,224
ابلاس,14
ابلاغ,7432
ابلان,16
ابلتا,25
ابلتے,37
ابلنے,36
ابلیس,306
ابلیش,36
ابلین,10
ابلیک,25
ابناء,77
ابندی,6548
ابنگا,30
ابنیت,20
ابنیر,43
ابهام,67
ابواء,65
ابواب,91454
ابواح,48
ابواد,10
ابوار,14
ابواس,64
ابوال,3759
ابوام,29
ابوای,49
ابوبر,57
ابوبک,3843
ابوتر,19
ابوتم,32
ابوجا,244
ابوجع,160
ابوجن,13
ابوحا,153
ابوحذ,31
ابوحس,11
ابوحف,83
ابوحم,38
ابوحن,471
ابوحی,49
ابوخا,23
ابودا,797
ابودج,15
ابودر,118
ابودو,11
ابوذر,326
ابورا,49
ابورج,33
ابورو,29
ابوری,280
ابوزر,41
ابوزک,20
ابوزی,50
ابوسب,18
ابوسع,280
ابوسف,226
ابوسل,145
ابوسم,12
ابوسن,12
ابوسو,10
ابوسی,10
ابوشا,11
ابوشج,11
ابوصا,36
ابوطا,104
ابوطل,54
ابوطی,10
ابوظب,346
ابوعا,30
ابوعب,141
ابوعت,10
ابوعث,16
ابوعل,109
ابوعم,109
ابوعو,15
ابوعی,30
ابوغر,28
ابوقا,12
ابوقت,36
ابوقی,24
ابولا,17
ابولب,27
ابولح,15
ابولز,32
ابولف,14
ابولم,10
ابولو,41
ابولک,36
ابولی,20
ابوما,22
ابومح,54
ابومخ,46
ابومس,193
ابومع,30
ابومن,27
ابومو,262
ابومی,28
ابونا,17
ابونص,41
ابونع,74
ابونو,11
ابونی,11
ابووا,28
ابوچز,12
ابوکا,35
ابوکب,13
ابوکو,13
ابوگا,18
ابوگی,117
ابویح,15
ابویز,10
ابویس,19
ابویع,76
ابویل,15
ابویو,449
ابڑیا,17
ابگرم,60
ابیات,80
ابیار,34
ابیاس,49
ابیان,44
ابیبی,11
ابیجت,10
ابیجی,38
ابیدا,24
ابیدو,40
ابیرا,45
ابیرت,11
ابیرس,11
ابیرل,19
ابیرن,17
ابیری,25
ابیزا,13
ابیسا,14
ابیسو,17
ابیسی,32
ابیشی,10
ابیضا,49
ابیضی,10
ابیطا,29
ابیلا,60
ابیلن,36
ابیلی,359
ابینا,86
ابیند,17
ابینو,23
ابینگ,62
ابینی,14
ابیود,13
ابیور,46
ابیوز,10
ابیول,31
ابیون,21
ابیوک,22
ابیگا,24
ابیگی,909
اتابا,22
اتابک,144
اتابی,10
اتاتر,751
اتارا,443
اتارب,13
اتارت,94
